2014121,103
2014122,126
2014123,94
2014124,110
2014125,125
2014126,92
2014127,109
2014128,115
2014129,137
2014130,117
2014131,95
2014132,124
2014133,117
2014134,154
2014135,126
2014136,174
2014137,122
2014138,89
2014139,109
2014140,76
2014141,132
2014142,120
2014143,130
2014144,97
2014145,84
2014146,128
2014147,152
2014148,153
2014149,136
2014150,128
2014151,105
2014152,20
2014152,85
2014153,137
2014154,113
2014155,137
2014156,113
2014157,112
2014158,111
2014159,91
2014160,124
2014161,167
2014162,165
2014163,146
2014164,123
2014165,86
2014166,111
2014167,146
2014168,123
2014169,26
2014182,93
2014183,111
2014184,188
2014185,163
2014186,121
2014187,137
2014188,130
2014189,165
2014190,161
2014191,137
2014192,47
2014197,56
2014198,128
2014199,170
2014200,112
2014201,106
2014202,150
2014203,152
2014204,159
2014205,167
2014206,142
2014207,137
2014208,129
2014209,148
2014210,128
2014211,174
2014212,156
2014213,19
2014244,77
2014245,101
2014246,109
2014247,134
2014248,106
2014249,107
2014250,99
2014251,108
2014252,129
2014253,93
2014254,125
2014255,134
2014256,96
2014257,79
2014258,135
2014259,130
2014260,108
2014261,128
2014262,165
2014263,119
2014264,120
2014265,124
2014266,161
2014267,147
2014268,221
2014269,172
2014270,103
2014271,93
2014272,119
2014273,146
2014274,17
2014274,106
2014275,110
2014276,101
2014277,91
2014278,90
2014279,112
2014280,92
2014281,133
2014282,132
2014283,149
2014284,125
2014285,79
2014286,149
2014287,154
2014288,130
2014289,120
2014290,98
2014291,90
2014292,88
2014293,114
2014294,122
2014295,117
2014296,118
2014297,164
2014298,108
2014299,81
2014300,133
2014301,154
2014302,122
2014303,134
2014304,120
2014305,21
2014305,60
2014306,84
2014307,95
2014308,143
2014309,155
2014310,156
2014311,130
2014312,104
2014313,91
2014314,147
2014315,143
2014316,229
2014317,200
2014318,101
2014319,104
2014320,101
2014321,117
2014322,153
2014323,176
2014324,129
2014325,116
2014326,124
2014327,130
2014328,118
2014329,143
2014330,102
2014331,109
2014332,123
2014333,117
2014334,118
2014335,34
2014335,84
2014336,137
2014337,160
2014338,191
2014339,162
2014340,156
2014341,14
