2014121,7489
2014122,10627
2014123,8518
2014124,8074
2014125,9299
2014126,5297
2014127,10002
2014128,9532
2014129,9567
2014130,8777
2014131,7980
2014132,9589
2014133,10023
2014134,9528
2014135,10455
2014136,10334
2014137,8771
2014138,8174
2014139,9466
2014140,6534
2014141,10749
2014142,9548
2014143,9790
2014144,8857
2014145,8218
2014146,9334
2014147,10875
2014148,10759
2014149,10179
2014150,11134
2014151,8838
2014152,2021
2014335,5779
2014336,9294
2014337,9306
2014338,8591
2014339,8859
2014340,7668
2014341,1045
