2014121,9565
2014122,12155
2014123,11023
2014124,12782
2014125,13739
2014126,7894
2014127,13590
2014128,14377
2014129,13012
2014130,12091
2014131,11768
2014132,13744
2014133,14917
2014134,16107
2014135,14180
2014136,12287
2014137,11772
2014138,11836
2014139,12578
2014140,8928
2014141,12980
2014142,12687
2014143,12951
2014144,13016
2014145,13664
2014146,14259
2014147,15301
2014148,16112
2014149,17755
2014150,15425
2014151,14352
2014152,4025
2014335,8238
2014336,12995
2014337,12883
2014338,12907
2014339,12098
2014340,11486
2014341,1381
